LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,PRODUCT_NAME,SHORT_DESCRIPTION,PRODUCT_INFO,SPECIFICATION_BACKUP,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3
/opt/Upload/KCS//input/mobile_images/2024/2/20/631/rp200 - rmk.png,509181,Đèn Năng Lượng Mặt Trời,SMDEN000080,"Đèn pha led năng lượng mặt trời SUNTEK RP-200, công suất 200W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn đường, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà, trang trại, xưởng sản xuất...

• Đèn pha chống lóa năng lượng mặt trời SUNTEK RP-200W có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• Đèn sử dụng bóng đèn LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• Đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 200W
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6V/40W
• Nhiệt độ làm việc: -20C ~ 65C
• Nhiệt độ màu: 6500K
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-67
• Chống sét TVS
• Thời gian chiếu sáng: 14-16h liên tục
• PIN: 48.000mAh LifePO4
• Kích thước đèn: 35.8 x 9 x 29 Cm
• Kích thước tấm năng lượng mặt trời: 68 x 1.7 x 35Cm
• Cân nặng: 6.3kg",909700,1000670,9097,Giá trị đơn hàng > 10 triệu,929600,1022560,18592,Giá trị đơn hàng từ 5-10 triệu,1008500,1109350,86324
/opt/Upload/KCS//input/mobile_images/2023/12/28/992/BỘ LƯU TRỮ  NĂNG LƯỢNG MẶT TRỜI  SUNTEK 12V_25Ah.png,509177,Đèn Năng Lượng Mặt Trời,SMDMT000014,Bộ Lưu Trữ Năng Lượng Mặt Trời SUNTEK Battery Power 12V/25Ah cho Camera,"Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Bộ lưu trữ năng lượng mặt trời SUNTEK Battery Power 12V/25Ah cho Camera là sản phẩm mang tính giải pháp, thường để lắp đặt ngoài trời nhờ tính tiện lợi không cần lắp đặt dây điện, có chỉ số IP chống bụi, chống nước cao.

• Không chỉ giải quyết nhu cầu cấp thiết phục vụ an ninh, dân sinh mà còn có giá trị rất lớn trong việc giảm thiểu sử dụng năng lượng hóa thạch, giúp bảo vệ môi trường, chống biến đổi khí hậu.","• Dung lượng: 25.000mAh LiFePO4(Pin Lithium sắt phốt phát 32700)
• Sạc năng lượng mặt trời: 30A
• Đồng hồ hiển thị dung lượng pin, điện áp pin
• 01 Đầu ra 12V/10A DC
• 01 Đầu ra 5v/2A
• Chất liệu: Nhựa ABS chống nước
• Màu sắc: trắng
• Kích thước: 230x150x85mm (DxRxC)",3277000,3604700,32770,Giá trị đơn hàng > 10 triệu,3348800,3683680,66976,Giá trị đơn hàng từ 5-10 triệu,3632900,3996190,203442.4
/opt/Upload/KCS//input/mobile_images/2023/12/28/642/ĐÈN NĂNG LƯỢNG  MẶT TRỜI SUNTEK DA-03.png,509194,Đèn Năng Lượng Mặt Trời,SMDEN000094,"Đèn đường năng lượng mặt trời SUNTEK DA-03, công suất 300W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn đường, đèn chiếu sáng công cộng, đèn khu công nghiệp, đèn liên huyện, đèn đường cho nông thông mới, nông thôn mới nâng cao, đèn cho các khu trang trại,…

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• Đèn đường năng lượng mặt trời SUNTEK DA03 có kiểu dáng thời trang, thiết kế hiện đại. Đèn sử dụng Chip LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 18-20 giờ đồng hồ.

• Đây sẽ là sản phẩm dành cho các dự án chiếu sáng công cộng, nông thôn mới, nông thôn mới nâng cao những vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 300W
• Chip: High quality Brightest 5054 Smd Chip Led
• Quang thông: 3000 Lumen
• Nhiệt độ màu: 6500K
• Chỉ số hoàn màu (CRI): 70Ra
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6V/50W
• Nhiệt độ làm việc: -20C ~ 65C
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa.
• Cấp bảo vệ: IP-67, IK-08
• Chống sét TVS
• Thời gian chiếu sáng: 18-20h liên tục
• PIN: 3.2V/78.000mAh LiFePo4 32700(PWM Solar Charge Controller With -Up LED Driver, BMS)
• Kích thước đèn: 23 x 8.5 x 58Cm(DxRxC)
• Kích thước tấm năng lượng mặt trời: 67 x 1.7 x 45Cm (DxRxC)",2137200,2350920,21372,Giá trị đơn hàng > 10 triệu,2184000,2402400,43680,Giá trị đơn hàng từ 5-10 triệu,2369300,2606230,202759.2
/opt/Upload/KCS//input/mobile_images/2024/2/17/133/BỘ ĐÈN NĂNG LƯỢNG MẶT TRỜI SUNTEK S500 PLUS.png,509195,Đèn Năng Lượng Mặt Trời,SMDEN000095,"Đèn đường năng lượng mặt trời SUNTEK S500 PLUS, công suất 500W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn đường, đèn chiếu sáng công cộng, đèn cho các khu công nghiệp, đèn cho các khu trang trại, đèn cho công viên, sân vườn,…

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• Đèn đường năng lượng mặt trời SUNTEK S500 có kiểu dáng thời trang, thiết kế hiện đại. Đèn sử dụng Chip LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 20-24 giờ đồng hồ.

• Đây sẽ là sản phẩm dành cho các dự án chiếu sáng công cộng những vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 500W
• Chip LED 5054
• Quang thông: 3000Lm
• CRI: >70Ra
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6V/60W
• Nhiệt độ làm việc: -20C ~ 65C
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-66
• Chống sét TVS
• Thời gian chiếu sáng: 20-24h liên tục
• PIN: 3.2V/72.000mAh LiFePo4
• Kích thước đèn: 21 x 9 x 50Cm(DxRxC)
• Kích thước tấm năng lượng mặt trời: 63 x 67 x 2.5Cm (DxRxC)
• Cân nặng: 8.5kg (chưa trụ cần)",2575600,2833160,25756,Giá trị đơn hàng > 10 triệu,2632000,2895200,52640,Giá trị đơn hàng từ 5-10 triệu,2855300,3140830,244343.2
/opt/Upload/KCS//input/mobile_images/2024/2/20/491/rp100-rmk.png,509180,Đèn Năng Lượng Mặt Trời,SMDEN000079,"Đèn pha led năng lượng mặt trời SUNTEK RP-100, công suất 100W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn đường, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà, hội trường, trang trại, xưởng sản xuất...

• Đèn pha chống lóa năng lượng mặt trời SUNTEK RP-100W có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• Đèn sử dụng bóng đèn LED nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• Đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• Công suất định mức: 100W
• Bảng điều khiển năng lượng mặt trời: Polycrystal 25W
• Nhiệt độ làm việc: -20C ~ 65C
• Nhiệt độ màu: 6500K
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-67
• Chống sét TVS
• Thời gian chiếu sáng: 14-16h liên tục
• PIN: 36.000mAh LifePO4
• Kích thước đèn: 29 x 9 x 25.5 Cm
• Kích thước tấm năng lượng mặt trời: 35 x 1.7 x 53Cm
• Cân nặng: 4.8kg",756200,831820,7562,Giá trị đơn hàng > 10 triệu,772800,850080,15456,Giá trị đơn hàng từ 5-10 triệu,838400,922240,71769.6
/opt/Upload/KCS//input/mobile_images/2023/12/28/817/BỘ LƯU TRỮ  NĂNG LƯỢNG MẶT TRỜI SUNTEK 12V_25Ah PLUS.png,509196,Đèn Năng Lượng Mặt Trời,SMDEN000096,Bộ Lưu Trữ Năng Lượng Mặt Trời SUNTEK 12V/25Ah PLUS,"Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Bộ lưu trữ năng lượng mặt trời SUNTEK là sản phẩm mang tính giải pháp, thường để lắp đặt ngoài trời nhờ tính tiện lợi không cần lắp đặt dây điện, có chỉ số IP chống bụi, chống nước cao.

• Không chỉ giải quyết nhu cầu cấp thiết phục vụ an ninh, dân sinh mà còn có giá trị rất lớn trong việc giảm thiểu sử dụng năng lượng hóa thạch, giúp bảo vệ môi trường, chống biến đổi khí hậu.","• Dung lượng: 25.000mAh LiFePO4 (Pin Lithium sắt phốt phát 32700).
• Sạc năng lượng mặt trời: 30A.
• Đồng hồ hiển thị dung lượng pin, điện áp pin.
• 01 Đầu ra 12V/10A DC.
• 01 Đầu ra 5V/2A.
• Chất liệu: Nhựa ABS chống nước.
• Màu sắc: Trắng.
• Kích thước: 230x150x85mm (DxRxC).",3605800,3966380,36058,Giá trị đơn hàng > 10 triệu,3684800,4053280,73696,Giá trị đơn hàng từ 5-10 triệu,3997400,4397140,342065.6
/opt/Upload/KCS//input/mobile_images/2023/12/28/498/ĐÈN PHA LED CHỐNG LOÁ NĂNG LƯỢNG MẶT TRỜI SUNTEK RL-100.png,509183,Đèn Năng Lượng Mặt Trời,SMDEN000082,"Đèn pha led chống lóa năng lượng mặt trời SUNTEK RL-100, công suất 100W","Đèn Năng Lượng Mặt Trời cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà...

• Đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng.

• Chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.","• Công suất định mức: 100W
• Bảng điều khiển năng lượng mặt trời: Polycrystal 6/20W
• Nhiệt độ làm việc: -20C ~ 65C
• Nhiệt độ màu: 6500K
• Chế độ điều khiển: Tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + Có điều khiển từ xa.
• Lớp chống thấm nước: IP-67
• Chống sét TVS
• Thời gian chiếu sáng: 10-12h liên tục
• PIN: 30.000mAh LifePO4
• Kích thước đèn: 19 x 22.5 Cm
• Kích thước tấm năng lượng mặt trời: 35 x 1.7 x 45Cm",800100,880110,8001,Giá trị đơn hàng > 10 triệu,817600,899360,16352,Giá trị đơn hàng từ 5-10 triệu,887000,975700,75928
/opt/Upload/KCS//input/mobile_images/2024/3/7/586/Nồi Cơm Điện Cao Tần Bluestone Rcb- 5991.png,509319,Nồi cơm điện,M&ENC100020,Nồi Cơm Điện Cao Tần Bluestone Rcb- 5991,"Nồi cơm điện cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Nồi cơm điện tử cao tần Bluestone RCB-5991 sở hữu thiết kế hiện đại, nhỏ gọn, thích hợp với nhiều kiểu không gian bếp khác nhau. Sản phẩm có xám thanh lịch, tạo điểm nhấn hoàn hảo cho khu vực nấu nướng của gia đình bạn.
Công nghệ nấu IH ( Induction Heating) trong nồi cơm điện cao tần, sử dụng cảm ứng từ bao quanh lòng nồi để làm nóng và nấu chín cơm. Công nghệ này giúp cơm được nấu chín đều, dẻo và giữ trọn chất dinh dưỡng có trong hạt gạo.","Công suất : 1200W Dung tích : 1.5 Lít Công nghệ nấu IH 9 chế độ nấu cài đặt sẵn tiện dụng Bảng điều khiển cảm ứng thông minh Lòng nồi niêu, dày 1.8mm phủ lớp chống dính",3598200,3958020,35982,Giá trị đơn hàng > 20 triệu,3677000,4044700,73540,Giá trị đơn hàng từ 10-20 triệu,3988800,4387680,223372.8
/opt/Upload/KCS//input/mobile_images/2024/2/17/198/NỒI ÁP SUẤT BLUESTONE PCB-5648.png,509323,Nồi áp suất,M&EAS100002,"Nồi Áp Suất Bluestone PCB-5648 4,5 lít 900W","Nồi áp suất cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Nồi áp suất dung tích 4.5 lít phù hợp với gia đình ít người.

• Công suất 900W làm nóng nhanh, đun nấu nhanh chóng.

• Lòng nồi làm bằng hợp kim nhôm chống dính, dễ vệ sinh.

• Thân nồi Bluestone bằng hợp kim nhôm phủ sơn tĩnh điện.

• Bảng điều khiển cơ có màn hình hiển thị đơn giản, dễ sử dụng.

• Tính năng giữ ấm tự động sau khi kết thúc chương trình nấu.

• Van xả tự động, giảm áp đảm bảo an toàn cho người dùng.","• Công suất: 900W
• Dung tích: 4.5 Lít
• Chế độ nấu cài đặt sẵn: 13 Chế độ
• Chất liệu vỏ ngoài: Hợp kim phủ sơn tĩnh điện
• Chất liệu lòng nồi: Lòng nồi hợp kim nhôm chống dính
• Chức năng khác: Nút ấn xả và van xả tự động, Bảng điều khiển núm vặn, Tính năng giữ ấm tự động sau khi kết thúc chương trình nấu
• Khối lượng sản phẩm: 5kg
• Màu sắc: Vàng đồng
• Nhà sản xuất: Bluestone",1673600,1840960,16736,Giá trị đơn hàng > 10 triệu,1710200,1881220,34204,Giá trị đơn hàng từ 5-10 triệu,1855300,2040830,103896.8
/opt/Upload/KCS//input/mobile_images/2023/12/28/148/BÀN ỦI KHÔ BLUESTONE DIB-3726.png,509295,Bàn là,M&EBL100021,Bàn Ủi Khô Bluestone DIB-3726 1300W,"Bàn là cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","• Bàn ủi Bluestone có công suất lên tới 1300W giúp ủi đồ nhanh thẳng tiết kiệm thời gian.

• Mặt đế bằng hợp kim nhôm, chống dính, giúp lướt nhanh và êm ái mà không làm hư hại bề mặt vải.

• Bàn ủi với nhiều mức nhiệt phù hợp với chất liệu vải như lụa, len, vải tổng hợp,... bằng núm vặn dễ dàng và nhanh chóng. 

• Đầu bàn ủi khô nhọn kèm rãnh cúc giúp ủi những vị trí khó ủi như: hàng cúc, cổ tay, cổ áo,...

• Dây điện có thể xoay 360 độ hạn chế xoắn rối khi ủi.","• Công suất: 1300W
• Mặt đế: Hợp kim nhôm
• Chức năng: Ủi khô
• Tiện ích: Có rãnh cúc tiện lợi; Không xoắn dây (dây nguồn xoay 360 độ)
• Kích thước: Ngang 25 cm - Cao 13 cm - Sâu 11.2 cm
• Khối lượng: 0.7 kg
• Thương hiệu của: Singapore",309100,340010,3091,Giá trị đơn hàng > 10 triệu,315800,347380,6316,Giá trị đơn hàng từ 5-10 triệu,342600,376860,19185.6
